"Lisans mezunlarının bölümlere göre aylık ortalama kazanç grupları, 2022-2023",,,
"Monthly average earning groups of bachelor's degree graduates by programmes, 2022-2023",,,
,(Kazanç grubu - Earning group),,
"Bölüm
Programme",2022 (r),,2023
"Pilotaj
Flight training",.,,"Çok yüksek
Very high"
"Matematik mühendisliği
Mathematical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Uçak mühendisliği
Aircraft engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Kontrol ve otomasyon mühendisliği
Control and automation engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Gemi makineleri işletme mühendisliği
Marine engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Havacılık ve uzay mühendisliği
Aerospace engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Havacılık elektrik ve elektroniği
Avionics","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Uçak bakım ve onarım
Aircraft maintenance and repair","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Gemi inşaatı ve gemi makineleri mühendisliği
Naval architecture and marine engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektronik ve haberleşme mühendisliği
Electronics and communication engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektronik mühendisliği
Electronics engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Deniz ulaştırma işletme mühendisliği
Maritime transportation, management engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"İşletme mühendisliği
Management engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilgisayar mühendisliği
Computer engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Petrol ve doğalgaz mühendisliği
Petroleum and natural gas engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Yazılım mühendisliği
Software engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektrik mühendisliği
Electrical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilişim sistemleri mühendisliği
Information systems engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Bilişim sistemleri ve teknolojileri
Information systems and technologies","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Endüstri mühendisliği
Industrial engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Fizik mühendisliği
Physics engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Ekonomi
Economics","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektronik öğretmenliği
Electronics teaching","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Elektrik-elektronik mühendisliği
Electrical-electronics engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Tıp
Medicine","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Aktüerya bilimleri
Actuarial sciences","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Makine mühendisliği
Mechanical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Kimya mühendisliği
Chemical engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"İmalat mühendisliği
Manufacturing engineering","Yüksek
High",,"Çok yüksek
Very high"
"Metalurji ve malzeme mühendisliği
Metallurgical and materials engineering","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Otomotiv mühendisliği
Automotive engineering","Yüksek
High",,"Çok yüksek
Very high"
"Mekatronik mühendisliği
Mechatronics engineering","Yüksek
High",,"Çok yüksek
Very high"
"Uluslararası finans ve bankacılık
International finance and banking","Çok yüksek
Very high",,"Çok yüksek
Very high"
"Sermaye piyasası
Capital market","Yüksek
High",,"Çok yüksek
Very high"
"İstatistik
Statistics","Yüksek
High",,"Yüksek
High"
"Otomotiv öğretmenliği
Automotive teaching","Çok yüksek
Very high",,"Yüksek
High"
"Maden mühendisliği
Mining engineering","Yüksek
High",,"Yüksek
High"
"Matematik ve bilgisayar bilimleri
Mathematics and computer sciences","Yüksek
High",,"Yüksek
High"
"Malzeme bilimi ve mühendisliği
Materials science and engineering","Yüksek
High",,"Yüksek
High"
"Çizgi film ve animasyon
Cartoon and animation","Yüksek
High",,"Yüksek
High"
"Yönetim bilişim sistemleri
Management information systems","Yüksek
High",,"Yüksek
High"
"Tekstil mühendisliği
Textile engineering","Yüksek
High",,"Yüksek
High"
"Elektrik öğretmenliği
Electrical teaching","Yüksek
High",,"Yüksek
High"
"Metal öğretmenliği
Metal teaching","Yüksek
High",,"Yüksek
High"
"Denizcilik işletmeleri yönetimi
Maritime management","Yüksek
High",,"Yüksek
High"
"Bilgisayar sistemleri öğretmenliği
Computer systems teaching","Yüksek
High",,"Yüksek
High"
"Geomatik mühendisliği
Geomatics engineering","Orta
Medium",,"Yüksek
High"
"Biyomühendislik
Bioengineering","Orta
Medium",,"Orta
Medium"
"Jeofizik mühendisliği
Geophysics engineering","Orta
Medium",,"Orta
Medium"
"Diş hekimliği
Dentistry","Orta
Medium",,"Orta
Medium"
"Ziraat mühendisliği
Agricultural engineering","Yüksek
High",,"Orta
Medium"
"Endüstriyel tasarım
Industrial design","Orta
Medium",,"Orta
Medium"
"Havacılık yönetimi
Aviation management","Orta
Medium",,"Orta
Medium"
"Hukuk
Law","Yüksek
High",,"Orta
Medium"
"Uluslararası ticaret ve işletmecilik
International trade and business management","Orta
Medium",,"Orta
Medium"
"Lojistik yönetimi
Logistics management","Orta
Medium",,"Orta
Medium"
"Ebelik
Midwifery","Orta
Medium",,"Orta
Medium"
"Siyaset bilimi ve uluslararası ilişkiler
Political science and international relations","Orta
Medium",,"Orta
Medium"
"Orman endüstrisi mühendisliği
Forest industry engineering","Orta
Medium",,"Orta
Medium"
"Enerji sistemleri mühendisliği
Energy systems engineering","Orta
Medium",,"Orta
Medium"
"Eczacılık
Pharmacy","Orta
Medium",,"Orta
Medium"
"Hemşirelik
Nursing","Orta
Medium",,"Orta
Medium"
"Kore dili ve edebiyatı
Korean language and literature",.,,"Orta
Medium"
"Jeoloji mühendisliği
Geological engineering","Orta
Medium",,"Orta
Medium"
"İletişim bilimleri
Communication sciences","Orta
Medium",,"Orta
Medium"
"İşletme
Business administration","Orta
Medium",,"Orta
Medium"
"Uluslararası ilişkiler
International relations","Orta
Medium",,"Orta
Medium"
"Uluslararası işletme yönetimi
International business management","Orta
Medium",,"Orta
Medium"
"Tarım makineleri
Agricultural machinery","Orta
Medium",,"Orta
Medium"
"Kimya
Chemistry","Orta
Medium",,"Orta
Medium"
"Veteriner
Veterinary medicine","Yüksek
High",,"Orta
Medium"
"Mütercim ve tercümanlık
Translation and interpretation","Orta
Medium",,"Orta
Medium"
"İktisat
Economics","Orta
Medium",,"Orta
Medium"
"Ekonometri
Econometrics","Orta
Medium",,"Orta
Medium"
"Çevre mühendisliği
Environmental engineering","Orta
Medium",,"Orta
Medium"
"Amerikan kültürü ve edebiyatı
American culture and literature","Orta
Medium",,"Orta
Medium"
"Astronomi ve uzay bilimleri
Astronomy and space sciences","Orta
Medium",,"Orta
Medium"
"Bilgisayar ve öğretim teknolojileri öğretmenliği
Computer education and instructional technology","Orta
Medium",,"Orta
Medium"
"Su ürünleri mühendisliği
Aquacultural engineering","Orta
Medium",,"Orta
Medium"
"Ekonomi ve finans
Economics and finance","Düşük
Low",,"Orta
Medium"
"Rus dili ve edebiyatı
Russian language and literature","Orta
Medium",,"Orta
Medium"
"Endüstriyel tasarım mühendisliği
Industrial design engineering",.,,"Orta
Medium"
"Acil yardım ve afet yönetimi
Emergency aid and disaster management","Orta
Medium",,"Orta
Medium"
"Çalışma ekonomisi ve endüstri ilişkileri
Labor economics and industrial relations","Düşük
Low",,"Orta
Medium"
"Gıda mühendisliği
Food engineering","Düşük
Low",,"Orta
Medium"
"Özel eğitim öğretmenliği
Special education teaching","Orta
Medium",,"Orta
Medium"
"Biyomedikal mühendisliği
Biomedical engineering","Düşük
Low",,"Orta
Medium"
"Fizik
Physics","Düşük
Low",,"Orta
Medium"
"Harita mühendisliği
Geomatics engineering","Orta
Medium",,"Düşük
Low"
"Uluslararası ticaret ve finansman
International trade and finance","Düşük
Low",,"Düşük
Low"
"İnşaat mühendisliği
Civil engineering","Düşük
Low",,"Düşük
Low"
"Kamu yönetimi
Public administration","Düşük
Low",,"Düşük
Low"
"Reklamcılık
Advertising","Düşük
Low",,"Düşük
Low"
"Arapça öğretmenliği
Arabic language teaching","Orta
Medium",,"Düşük
Low"
"Matematik öğretmenliği
Mathematics teaching","Orta
Medium",,"Düşük
Low"
"Tarımsal yapılar ve sulama
Agricultural structures and irrigation","Düşük
Low",,"Düşük
Low"
"Sınıf öğretmenliği
Classroom teaching","Düşük
Low",,"Düşük
Low"
"Genetik ve biyomühendislik
Genetics and bioengineering","Düşük
Low",,"Düşük
Low"
"Yapı öğretmenliği
Construction teaching","Düşük
Low",,"Düşük
Low"
"İngilizce öğretmenliği
English language teaching","Orta
Medium",,"Düşük
Low"
"Sigortacılık
Insurance","Düşük
Low",,"Düşük
Low"
"Şehir ve bölge planlama
Urban and regional planning","Orta
Medium",,"Düşük
Low"
"Din kültürü ve ahlak bilgisi öğretmenliği
Religion and ethics teaching","Düşük
Low",,"Düşük
Low"
"Fransız dili ve edebiyatı
French language and literature","Düşük
Low",,"Düşük
Low"
"Bitki koruma
Plant protection","Düşük
Low",,"Düşük
Low"
"İngiliz dilbilimi
English linguistics","Düşük
Low",,"Düşük
Low"
"İletişim ve tasarımı
Communication and design","Düşük
Low",,"Düşük
Low"
"Turizm işletmeciliği
Tourism management - tourism administration","Düşük
Low",,"Düşük
Low"
"Zootekni
Zootechnics","Düşük
Low",,"Düşük
Low"
"İlköğretim matematik öğretmenliği
Elementary mathematics education","Düşük
Low",,"Düşük
Low"
"Siyaset bilimi ve kamu yönetimi
Political science and public administration","Düşük
Low",,"Düşük
Low"
"Finans ve bankacılık
Finance and banking","Düşük
Low",,"Düşük
Low"
"İnsan kaynakları yönetimi
Human resource management","Düşük
Low",,"Düşük
Low"
"Televizyon haberciliği ve programcılığı
Television reporting and programming","Düşük
Low",,"Düşük
Low"
"Bilgi ve belge yönetimi
Information and records management","Düşük
Low",,"Düşük
Low"
"Tarla bitkileri
Arable crops","Düşük
Low",,"Düşük
Low"
"Biyosistem mühendisliği
Biosystems engineering","Düşük
Low",,"Düşük
Low"
"Arap dili ve edebiyatı
Arabic language and literature","Düşük
Low",,"Düşük
Low"
"Coğrafya öğretmenliği
Geography teaching","Düşük
Low",,"Düşük
Low"
"Maliye
Public finance","Düşük
Low",,"Düşük
Low"
"Halkla ilişkiler ve tanıtım
Public relations and promotion","Düşük
Low",,"Düşük
Low"
"Türk dili ve edebiyatı öğretmenliği
Turkish language and literature teaching","Düşük
Low",,"Düşük
Low"
"Toprak bilimi ve bitki besleme
Soil science and plant nutrition","Düşük
Low",,"Düşük
Low"
"Grafik sanatlar
Graphic arts","Düşük
Low",,"Düşük
Low"
"Görsel iletişim tasarımı
Visual communication design","Düşük
Low",,"Düşük
Low"
"Halkla ilişkiler ve reklamcılık
Public relations and advertising","Düşük
Low",,"Düşük
Low"
"Sosyal hizmet
Social services","Düşük
Low",,"Düşük
Low"
"Aile ve tüketici bilimleri
Family and consumer sciences","Düşük
Low",,"Düşük
Low"
"Karşılaştırmalı edebiyat
Comparative literature","Düşük
Low",,"Düşük
Low"
"Yiyecek ve içecek işletmeciliği
Catering management","Düşük
Low",,"Düşük
Low"
"Bahçe bitkileri
Horticultural crops","Düşük
Low",,"Düşük
Low"
"Orman mühendisliği
Forest engineering","Düşük
Low",,"Düşük
Low"
"Fransızca öğretmenliği
French language teaching","Düşük
Low",,"Düşük
Low"
"Sanat ve kültür yönetimi
Art and culture management","Düşük
Low",,"Düşük
Low"
"Tarih öğretmenliği
History teaching","Düşük
Low",,"Düşük
Low"
"Fizik öğretmenliği
Physics teaching","Düşük
Low",,"Düşük
Low"
"İngiliz dili ve edebiyatı
English language and literature","Düşük
Low",,"Düşük
Low"
"Uluslararası ticaret ve lojistik
International trade and logistics","Düşük
Low",,"Düşük
Low"
"Sağlık yönetimi
Health administration","Düşük
Low",,"Düşük
Low"
"Kimya öğretmenliği
Chemistry teaching","Düşük
Low",,"Düşük
Low"
"Rehberlik ve psikolojik danışmanlık
Guidance and psychological counseling","Düşük
Low",,"Düşük
Low"
"Türkçe öğretmenliği
Turkish language teaching","Düşük
Low",,"Düşük
Low"
"Tarım ekonomisi
Agricultural economics","Düşük
Low",,"Düşük
Low"
"Bankacılık ve sigortacılık
Banking and insurance","Çok düşük
Very low",,"Düşük
Low"
"Biyokimya
Biochemistry","Düşük
Low",,"Düşük
Low"
"Dilbilimi
Linguistics",.,,"Düşük
Low"
"Okul öncesi öğretmenliği
Early childhood education - preschool teaching","Düşük
Low",,"Düşük
Low"
"Alman dili ve edebiyatı
German language and literature","Düşük
Low",,"Düşük
Low"
"Yeni medya ve iletişim
New media and communication","Düşük
Low",,"Düşük
Low"
"Biyoloji
Biology","Düşük
Low",,"Düşük
Low"
"Matematik
Mathematics","Düşük
Low",,"Düşük
Low"
"Felsefe grubu öğretmenliği
Philosophy group teaching","Düşük
Low",,"Düşük
Low"
"Grafik tasarımı
Graphic design","Düşük
Low",,"Düşük
Low"
"Fotoğraf
Photography","Düşük
Low",,"Düşük
Low"
"Gazetecilik
Journalism","Düşük
Low",,"Düşük
Low"
"Mimarlık
Architecture","Çok düşük
Very low",,"Düşük
Low"
"Radyo, televizyon ve sinema
Radio, television and cinema","Düşük
Low",,"Düşük
Low"
"Tarımsal biyoteknoloji
Agricultural biotechnology","Çok düşük
Very low",,"Düşük
Low"
"Fars dili ve edebiyatı
Persian language and literature","Düşük
Low",,"Düşük
Low"
"Psikoloji
Psychology","Düşük
Low",,"Düşük
Low"
"Tekstil ve moda tasarımı
Fashion and textile design","Düşük
Low",,"Düşük
Low"
"Gastronomi ve mutfak sanatları
Gastronomy and culinary arts","Düşük
Low",,"Düşük
Low"
"Sosyoloji
Sociology","Düşük
Low",,"Düşük
Low"
"Antropoloji
Anthropology","Çok düşük
Very low",,"Düşük
Low"
"İlahiyat
Theology","Düşük
Low",,"Düşük
Low"
"Moleküler biyoloji ve genetik
Molecular biology and genetics","Çok düşük
Very low",,"Düşük
Low"
"Almanca öğretmenliği
German language teaching","Düşük
Low",,"Çok düşük
Very low"
"Muhasebe ve finans yönetimi
Accounting and finance management","Çok düşük
Very low",,"Çok düşük
Very low"
"Beslenme ve diyetetik
Nutrition and dietetics","Çok düşük
Very low",,"Çok düşük
Very low"
"Fen bilgisi öğretmenliği
Science teaching","Düşük
Low",,"Çok düşük
Very low"
"Beden eğitimi ve spor öğretmenliği
Physical education and sports teaching","Düşük
Low",,"Çok düşük
Very low"
"Peyzaj mimarlığı
Landscape architecture","Çok düşük
Very low",,"Çok düşük
Very low"
"İş sağlığı ve güvenliği
Occupational health and safety","Çok düşük
Very low",,"Çok düşük
Very low"
"Protohistorya ve ön asya arkeolojisi
Protohistory and asia minor archaeology","Çok düşük
Very low",,"Çok düşük
Very low"
"Sosyal bilgiler öğretmenliği
Social studies teaching","Düşük
Low",,"Çok düşük
Very low"
"Turizm rehberliği
Tour guide training","Çok düşük
Very low",,"Çok düşük
Very low"
"Müzik öğretmenliği
Music teaching","Çok düşük
Very low",,"Çok düşük
Very low"
"Fizyoterapi ve rehabilitasyon
Physiotherapy and rehabilitation","Çok düşük
Very low",,"Çok düşük
Very low"
"Biyoloji öğretmenliği
Biology teaching","Çok düşük
Very low",,"Çok düşük
Very low"
"Arkeoloji
Archaeology","Çok düşük
Very low",,"Çok düşük
Very low"
"Resim-iş öğretmenliği
Art teaching","Çok düşük
Very low",,"Çok düşük
Very low"
"Gıda teknolojisi
Food technology",.,,"Çok düşük
Very low"
"Odyoloji
Audiology","Çok düşük
Very low",,"Çok düşük
Very low"
"Sanat tarihi
Art history","Çok düşük
Very low",,"Çok düşük
Very low"
"İç mimarlık ve çevre tasarımı
Interior and environmental design","Çok düşük
Very low",,"Çok düşük
Very low"
"Rekreasyon yönetimi
Recreation management","Çok düşük
Very low",,"Çok düşük
Very low"
"Spor yöneticiliği
Sports management","Çok düşük
Very low",,"Çok düşük
Very low"
"İç mimarlık
Interior architecture","Çok düşük
Very low",,"Çok düşük
Very low"
"Coğrafya
Geography","Çok düşük
Very low",,"Çok düşük
Very low"
"Dil ve konuşma terapisi
Speech and language therapy","Çok düşük
Very low",,"Çok düşük
Very low"
"Antrenörlük eğitimi
Coach training","Çok düşük
Very low",,"Çok düşük
Very low"
"Tarih
History","Çok düşük
Very low",,"Çok düşük
Very low"
"Ses eğitimi
Vocal training","Çok düşük
Very low",,"Çok düşük
Very low"
"Türk halk oyunları
Turkish folk dances","Çok düşük
Very low",,"Çok düşük
Very low"
"Çocuk gelişimi
Child development","Çok düşük
Very low",,"Çok düşük
Very low"
"Ergoterapi
Occupational therapy","Çok düşük
Very low",,"Çok düşük
Very low"
"Müzikoloji
Musicology","Çok düşük
Very low",,"Çok düşük
Very low"
"Rekreasyon
Recreation","Çok düşük
Very low",,"Çok düşük
Very low"
"Egzersiz ve spor bilimleri
Exercise and sports sciences","Çok düşük
Very low",,"Çok düşük
Very low"
"Geleneksel Türk sanatları
Traditional Turkish arts","Çok düşük
Very low",,"Çok düşük
Very low"
"Seramik
Ceramics","Çok düşük
Very low",,"Çok düşük
Very low"
"Türk halkbilimi
Turkish folklore","Çok düşük
Very low",,"Çok düşük
Very low"
"Seramik ve cam
Ceramic and glass","Çok düşük
Very low",,"Çok düşük
Very low"
"Felsefe
Philosophy","Çok düşük
Very low",,"Çok düşük
Very low"
"Türk müziği
Turkish music","Çok düşük
Very low",,"Çok düşük
Very low"
"Heykel
Sculpture","Çok düşük
Very low",,"Çok düşük
Very low"
"Türk dili ve edebiyatı
Turkish language and literature","Çok düşük
Very low",,"Çok düşük
Very low"
"İslami ilimler
Islamic sciences","Çok düşük
Very low",,"Çok düşük
Very low"
"Biyoteknoloji
Biotechnology",.,,"Çok düşük
Very low"
"Müzik
Music","Çok düşük
Very low",,"Çok düşük
Very low"
"Resim
Painting","Çok düşük
Very low",,"Çok düşük
Very low"
"Oyunculuk
Acting","Çok düşük
Very low",,"Çok düşük
Very low"
"Çağdaş Türk lehçeleri ve edebiyatları
Modern Turkish dialects and literatures","Çok düşük
Very low",,"Çok düşük
Very low"
"Tiyatro
Theatre","Çok düşük
Very low",,"Çok düşük
Very low"
"Opera
Opera",.,,"Çok düşük
Very low"
"Bilgisayar öğretmenliği
Computer teaching","Yüksek
High",,.
"Talaşlı üretim öğretmenliği
Machining teaching","Çok yüksek
Very high",,.
"Moda tasarımı öğretmenliği
Fashion design teaching","Düşük
Low",,.
"TÜİK, Yükseköğretim İstihdam Göstergeleri, 2023",,,
"TurkStat, Higher Education Employment Indicators, 2023",,,
(r) Revize edilmiştir.,,,
(r) Data revised.,,,
. Medyan (ortanca) değerin altında mezunu olan bölümlere tablolarda yer verilmemiştir.,,,
. Departments with number of graduates below the median value were not included in the tables.,,,
