"2020 - 2021 ÖĞRETİM YILINDA VAKIF ÜNİVERSİTELERİNDE UYGULANAN ÜCRETLER VE ÖDEME KOŞULLARI","",""
"ÜNİVERSİTE VE ŞEHRİ","FAKÜLTE YA DA BÖLÜM","YILLIK (2 DÖNEMLİK) ÜCRET (KDV'siz)"
"Bahçeşehir Üniversitesi - İstanbul","Tıp Fakültesi","52.685,19 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi, Mimarlık ve Tasarım
Fakültesi, Hukuk Fakültesi","36.018,52 TL"
"","Kalan diğer lisans programları için","33.148,15 TL"
"","Hazırlık Sınıfı","33.148,15 TL"
"","Ön Lisans Programları","17.870,37 TL"
"ADA KENT ÜNİVERSİTESİ - KIBRIS","Diş Hekimliği Fakültesi","65.000.00 TL"
"","Hukuk Fakültesi","40.000.00 TL"
"","Eğitim Fakültesi'nin, İngilizce Öğretmenliği","25.000.00 TL"
"","İngilizce Hazırlık Okulu","20.000.00 TL"
"","Belirtilen öğrenim ücretlerine ilaveten %5 KDV, 1200 TL kayıt ve öğrenci etkinlik ücreti alınacaktır.",""
"ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ - İSTANBUL","Tıp Fakültesi'nde (Hazırlık sınıfı dahil)","128.800.00 TL"
"","Mühendislik Fakültesi'nde Tıp Mühendisliği Bölümü (Hazırlık sınıfı
dahil)","60.720.00 TL"
"","Sağlık Bilimleri Fakültesi?nde; Fizyoterapi ve Rehabilitasyon
Bölümü","54.740.00 TL"
"","Hemşirelik ve Sağlık Yönetimi Bölümü","42.320.00 TL"
"","Beslenme ve Diyetetik Bölümü","54.740.00 TL"
"","Beslenme ve Diyetetik (İngilizce) Bölümü","57.500.00 TL"
"","Hemşirelik (İngilizce) Bölümü","45.080.00 TL"
"","Fen Edebiyat Fakültesi'nde; Moleküler Biyoloji ve Genetik Bölümü (Hazırlık sınıfı dahil)","54.740.00 TL"
"","Psikoloji Bölümü","54.740.00 TL"
"","Psikoloji (İngilizce) Bölümü","52.900.00 TL"
"","Sosyoloji Bölümü","40.480.00 TL"
"","Eczacılık Fakültesi (Hazırlık sınıfı dahil)","72.680.00 TL"
"","İsteğe Bağlı İngilizce Hazırlık Sınıfı; lisans programları için","18.400.00 TL"
"15 KASIM KIBRIS ÜNİVERSİTESİ - KIBRIS","İngilizce Hazırlık Programı","26.000,00 TL"
"","Siyasal ve Sosyal Bilimler Fakültesi","28.000,00 TL"
"","İletişim Fakültesi","30.000,00 TL"
"","ödemelerden %5 KDV alınmaktadır. Öğretim ücretine ek olarak üniversiteye kayıt sırasında 1800 TL kayıt ücreti öde",""
"ALTINBAŞ (İSTANBUL KEMERBURGAZ) ÜNİVERSİTESİ - İSTANBUL","Hukuk Fakültesi","52.900.00 TL"
"","İşletme Fakültesi","46.506.00 TL"
"","Eczacılık Fakültesi","52.900.00 TL"
"","İktisadi, İdari ve Sosyal Bilimler Fakültesi","46.506.00 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi","46.506.00 TL"
"","Güzel Sanatlar ve Tasarım Fakültesi","46.506.00 TL"
"","Uygulamalı Bilimler Fakültesi'ne Bağlı Lisans Programları","46.506.00 TL"
"","Tıp Fakültesi","80.454.00 TL"
"","Diş Hekimliği Fakültesi","74.704.00 TL"
"ANKARA BİLİM ÜNİVERSİTESİ - ANKARA","Mühendislik ve Mimarlık Fakültesi","36.800.00 TL"
"","Güzel Sanatlar ve Tasarım Fakültesi","34.960.00 TL"
"","İnsan ve Toplum Bilimleri Fakültesi","34.960.00 TL"
"ANKARA MEDİPOL ÜNİVERSİTESİ - ANKARA","Tıp Fakültesi için Türkçe ve İngilizce Programı","86.000,00 TL"
"","Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı için 86.000 TL,","86.000,00 TL"
"","Eczacılık Fakültesi için Türkçe ve İngilizce Programı","78.000,00 TL"
"","Hukuk Fakültesi için zorunlu hazırlık sınıfı dahil","56.500,00 TL"
"","Sağlık Bilimleri Fakültesinin Fizyoterapi ve Rehabilitasyon Bölümü için zorunlu hazırlık sınıfı dahil","42.500,00 TL"
"","Beslenme ve Diyetetik Bölümü için zorunlu hazırlık sınıfı dahil","41.000,00 TL"
"","Ergoterapi Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Dil ve Konuşma Terapisi Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Hemşirelik Bölümü Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Ebelik Bölümü Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","İktisadi İdari ve Sosyal Bilimler Fakültesinin Psikoloji Bölümü Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil","34.000,00 TL"
"","Uluslararası Ticaret ve Finansman Bölümü Türkçe ve İngilizce
Programı Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Yönetim Bilişim Sistemleri Bölümü Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Siyasal Bilgiler Fakültesinin Siyaset Bilimi ve Uluslararası İlişkiler Bölümü İngilizce Programı Zorunlu Hazırlık Sınıfı Dahil","31.500,00 TL"
"","Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin Gastronomi ve Mutfak Sanatları Bölümü Zorunlu Hazırlık Sınıfı Dahil","42.000,00 TL"
"","Güzel Sanatlar Tasarım ve Mimarlık Fakültesinin İç Mimarlık ve
Çevre Tasarımı Bölümü Zorunlu Hazırlık Sınıfı Dahil","42.000,00 TL"
"","İletişim Fakültesinin Tüm Bölümleri Zorunlu Hazırlık Sınıfı Dahil","32.200,00 TL"
"","Tıp Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı
için","56.500,00 TL"
"","Diş Hekimliği Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için","56.500,00 TL"
"","Eczacılık Fakültesi Türkçe ve İngilizce Programı Zorunlu Hazırlık Sınıfı için","56.500,00 TL"
"","Bu ücretlere KDV ayrıca ilave edilecektir. İsteğe bağlı hazırlık sınıfı okuyacak öğrenciler yerleştikleri programın ücreti üzerinden %25 indirimli program ücreti ile hazırlık sınıfına kabul edilirler.",""
"ATILIM ÜNİVERSİTESİ - ANKARA","Tıp Fakültesi öğretim ücreti","69.736.00 TL"
"","Diğer Tüm Bölümlerimiz için Öğretim Ücreti","47.840.00 TL"
"","Pilotaj Bölümü için uçuş eğitimi ücreti bu ücrete dahil değildir. Pilotaj Bölümünün burslu programındaki öğrenciler için, uçuş eğitimi ücretinin burs oranı kadarı üniversite tarafından karşılanacaktır",""
"AVRASYA ÜNİVERSİTESİ - TRABZON","Psikoloji Bölümü","36.800.00 TL"
"","İç Mimarlık ve Çevre Tasarımı Bölümü","36.800.00 TL"
"","Mimarlık Bölümü","36.800.00 TL"
"","İnşaat Mühendisliği Bölümü","36.800.00 TL"
"","Beslenme ve Diyetetik Bölümü","36.800.00 TL"
"","Çocuk Gelişimi Bölümü","36.800.00 TL"
"","Fizyoterapi ve Rehabilitasyon Bölümü","36.800.00 TL"
"","Sosyal Hizmet Bölümü","36.800.00 TL"
"","Hemşirelik Bölümü","36.800.00 TL"
"","Sağlık Yönetimi Bölümü","32.200.00 TL"
"","Odyoloji Bölümü","32.200.00 TL"
"","Spor Bilimleri Bölümü","32.200.00 TL"
"","Bilgisayar Mühendisliği Bölümü","32.200.00 TL"
"","Elektrik-Elektronik Mühendisliği Bölümü","32.200.00 TL"
"","Gıda Mühendisliği Bölümü","32.200.00 TL"
"","Makine Mühendisliği Bölümü","32.200.00 TL"
"","Gastronomi ve Mutfak Sanatlar Bölümü","32.200.00 TL"
"","İngiliz Dili ve Edebiyatı Bölümü","27.600.00 TL"
"","Türk Dili ve Edebiyatı Bölümü","27.600.00 TL"
"","Uluslararası İlişkiler Bölümü","27.600.00 TL"
"","Siyaset Bilimi ve Kamu Yönetimi Bölümü","27.600.00 TL"
"","Harita Mühendisliği Bölümü","27.600.00 TL"
"","Maliye Bölümü","23.000.00 TL"
"","İşletme Bölümü","23.000.00 TL"
"ANTALYA BİLİM ÜNİVERSİTESİ - ANTALYA","İngilizce Hazırlık Programı","37.720.00 TL"
"","Mühendislik Fakültesi","41.400.00 TL"
"","Ekonomi Bölümü","40.480.00 TL"
"","İşletme Bölümü","40.480.00 TL"
"","Siyaset Bilimi ve Uluslararası İlişkiler Bölümü","40.480.00 TL"
"","Psikoloji Bölümü","42.320.00 TL"
"","Turizm ve Otel İşletmeciliği Bölümü","40.480.00 TL"
"","Gastronomi ve Mutfak Sanatları Bölümü","43.240.00 TL"
"","Güzel Sanatlar ve Mimarlık Fakültesi","45.080.00 TL"
"","Hukuk Fakültesi","51.060.00 TL"
"","Diş Hekimliği Fakültesi","75.440.00 TL"
"","Sağlık Bilimleri Fakültesi","42.320.00 TL"
"ARKIN YARATICI SANATLAR VE TASARIM ÜNİVERSİTESİ - KIBRIS","Sanat Fakültesi","39.000.00 TL"
"","Tasarım Fakültesi","39.000.00 TL"
"","İletişim Fakültesi","39.000.00 TL"
"","İngilizce Hazırlık Okulu","39.000.00 TL"
"","Bu ücretlere % 5 KDV dahil değildir. Yerleşen tüm öğrencilerin yılda bir kez güz döneminde ödenen 3000TL kayıt (%
5 KDV dahil) ücretini ödemesi gerekmektedir.",""
"BAŞKENT ÜNİVERSİTESİ - ANKARA","Tıp Fakültesi","68.080.00 TL"
"","Diş Hekimliği Fakültesi","68.080.00 TL"
"","Eczacılık Fakültesi","58.880.00 TL"
"","Mühendislik Fakültesi","47.840.00 TL"
"","Hukuk Fakültesi","47.840.00 TL"
"","Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi Mimarlık Bölümü","47.840.00 TL"
"","Bu Fakültelerin dışında kalan bütün lisans programları","44.160.00 TL"
"","İngilizce Hazırlık Programı","36.800.00 TL"
"BAHÇEŞEHİR ÜNİVERSİTESİ - İSTANBUL","Tıp Fakültesi Programı","109.434.00 TL"
"","Diş Hekimliği Fakültesi Programı","100.179.00 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesi","67.795.00 TL"
"","Mimarlık Fakültesi","67.795.00 TL"
"","Hukuk Fakültesi Programı","70.840.00 TL"
"","İletişim Fakültesi","63.976.00 TL"
"","İktisadi İdari ve Sosyal Bilimler Fakültesi","65.025.00 TL"
"","Yabancı Diller Y.O zorunlu ve isteğe bağlı İngilizce Hazırlık Program","65.025.00 TL"
"","Eğitim Fakültesi","62.818.00 TL"
"","Sağlık Bilimleri Fakültesi","62.818.00 TL"
"BEYKENT ÜNİVERSİTESİ - İSTANBUL","Hukuk Fakültesi","45.160.960 TL"
"","Psikoloji Bölümü","39.847.960 TL"
"","Tıp Fakültesi","87.664.960 TL"
"","Diş Hekimliği Fakültesi","87.664.960 TL"
"","Diğer Tüm Lisans Programları","33.687.640 TL"
"","Yabancı Dil Hazırlık Programı","33.687.640 TL"
"ÇANKAYA ÜNİVERSİTESİ - ANKARA","Tüm Bölümler","47.380.000 TL"
"ÇAĞ ÜNİVERSİTESİ - İÇEL MERSİN","Tüm Lisans Bölümleri","33.296,30 TL"
"","Zorunlu Hazırlık Sınıfı","33.296,30 TL"
"DOĞUŞ ÜNİVERSİTESİ (İSTANBUL)","Türkçe ve İngilizce Lisans programları","35.065,8 TL"
"","Hukuk Fakültesi","39.680,52 TL"
"","Psikoloji Bölümünde (Türkçe ve İngilizce)","37.191,00 TL"
"","İngilizce Hazırlık - Lisans","35.065,8 TL"
"DOĞU AKDENİZ ÜNİVERSİTESİ- KIBRIS","Tıp Fakültesi ve Diş Hekimliği Fakültesi","61.960,00 TL"
"","Eczacılık Fakültesi","40.720,00 TL"
"","Hukuk Fakültesi ve Sağlık Bilimleri Fakültesi'nin Beslenme ve Diyetetik ile Fizyoterapi ve Rehabilitasyon programları","37.180,00 TL"
"","Fen ve Edebiyat Fakültesi'nin Psikoloji (Türkçe) ve Psikoloji
(İngilizce) Programları","34.530,00 TL"
"","Eğitim Fakültesi, Mühendislik Fakültesi, Mimarlık Fakültesi","33.190,00 TL"
"","Sağlık Bilimleri Fakültesi'nin Hemşirelik","31.880,00 TL"
"","Fen ve Edebiyat Fakültesi'nin diğer programları ile Sağlık Bilimleri Fakültesinin diğer bölümleri","24.440,00 TL"
"","Diğer lisans programları","26.470,00 TL"
"","İngilizce Hazırlık Okulu","26.470,00 TL"
"","Belirtilen öğrenim ücretlerine %5 KDV tutarı, Öğrenci Hizmetleri Fonu için dönemlik 825 TL ve Hazırlık Okulu için dönemlik 900TL kitap ücreti dahil değildir",""
"FATİH SULTAN MEHMET ÜNİVERSİTESİ","Edebiyat Fakültesi; Psikoloji","49.680,00 TL"
"","Tarih Bölümü ile Türk Dili ve Edebiyatı Bölümü","39.376,00 TL"
"","Eğitim Fakültesi; Arapça Öğretmenliği","37.076,00 TL"
"","Okul Öncesi Öğretmenliği","45.356,00 TL"
"","Rehberlik ve Psikolojik Danışmanlık Programı ile Türkçe Öğretmenliği","41.768,00 TL"
"","Güzel Sanatlar Fakültesi; Geleneksel Türk Sanatları","23.000,00 TL"
"","Grafik Tasarımı","34.040,00 TL"
"","Hukuk Fakültesi","45.356,00 TL"
"","İslami İlimler Fakültesi","34.040,00 TL"
"","Mimarlık ve Tasarım Fakültesi; İç Mimarlık ile Mimarlık","40.480,00 TL"
"","Mühendislik Fakültesi; Bilgisayar Mühendisliği , Elektrik Elektronik Mühendisliği ile İnşaat Mühendisliği","39.836,00 TL"
"","Biyomedikal Mühendisliği","23.000,00 TL"
"","Güzel Sanatlar Meslek Yüksekokulu; Mimari Restorasyon","23.000,00 TL"
"","Ambalaj Tasarımı Programı","20.700,00 TL"
"","Çocuk Gelişimi Programı II. Öğretimi","20.976,00 TL"
"","Eğitim Fakültesi , FenEdebiyat Fakültesi'nin Psikoloji (İngilizce),
Sağlık Bilimleri Fakültesi'nin Fizyoterapi ve Rehabilitasyon, Beslenme ve Diyetetik , Turizm ve Otel İşletmeciliği Yüksekokulu'nun Gastronomi ve Mutfak Sanatları ve Sağlık","23.920,00 TL"
"","Engelli Destek Programı","20.700,00 TL"
"","Hazırlık Sınıfı","41.304.34 TL"
"","Arapça Hazırlık","27.600,00 TL"
"LEFKE AVRUPA ÜNİVERSİTESİ","Diş Hekimliği Fakültesi","45.900,00 TL"
"","Hukuk Fakültesi","29.900,00 TL"
"","(İngilizce), Sağlık Bilimleri Fakültesi'nin Fizyoterapi ve Rehabilitasyon programları, Beslenme ve Diyetetik programları, Turizm ve Otel İşletmeciliği Yüksekokulu'nun Gastronomi ve Mutfak Sanatları programı ve Sağlık Yüksekokulu'nun Hemşirelik
(Fİenng-iElidzceeb)iypartogFraakmülltaersıi'nin Psikoloji (Türkçe) ve Sağlık","24.900,00 TL"
"","Yüksekokulu'nun Hemşirelik (Türkçe) programları","26.900,00 TL"
"","Diğer lisans (4 yıllık) programları","22.900,00 TL"
"","Hazırlık Okulu eğitim ücreti (hazırlık kitapları dahil)","24.900,00TL"
"","Belirtilen eğitim ücretlerine Kayıt ve Öğrenci Etkinlikleri Fonu olan do¨nemlik 1,100 TL ve %5 KDV eklenecektir.",""
"MALTEPE ÜNİVERSİTESİ","Hazırlık Sınıfı","40.296,00 TL"
"","Eğitim Fakültesinin; Okul Öncesi Öğretmenliği","44.620,00 TL"
"","Rehberlik ve Psikolojik Danışmanlık (Türkçe ve İngilizce) Bölümü","41.400,00 TL"
"","Özel Eğitim Öğretmenliği","40.296 ,00 TL"
"","İlköğretim Matematik Öğretmenliği","37.536,00 TL"
"","Güzel Sanatlar Fakültesinin Gastronomi ve Mutfak Sanatları","38.916,00 TL"
"","İngilizce Öğretmenliği","38.518,51 TL"
"","Çizgi Film ve Animasyon, Grafik Tasarımı, Sahne Sanatları Bölümü","35.880,00T L"
"","Hukuk Fakültesi","50.600,00 TL"
"","İşletme ve Yönetim Bilimleri Fakültesinin tüm bölümleri","43.056.00 TL"
"","İletişim Fakültesinin Gazetecilik Bölümü ve diğer tümr bölümler  is","39.744,00 TL / 39.744,00 TL"
"","İnsan ve Toplum Bilimleri Fakültesinin; Felsefe Bölümü","43.056,00 TL"
"","Sosyal Hizmet","42.320,00 TL"
"","Sosyoloji (Türkçe ve İngilizce)","40.296,00 TL"
"","Psikoloji (Türkçe ve İngilizce)","44.344,00 TL"
"","Mimarlık ve Tasarım Fakültesinin; Gemi ve Yat Tasarımı","46.092,00 TL"
"","İç Mimarlık","45.632,00 TL"
"","Mimarlık (Türkçe ve İngilizce)","47.380,00 TL"
"","Mühendislik ve Doğa Bilimleri Fakültesinin tüm bölümleri","45.632,00 TL"
"","Tıp Fakültesi (Türkçe ve İngilizce)","70.932,00 TL"
"","Hemşirelik Yüksekokulu","29.891,30 TL"
"","Konservatuvar","36.708,00 TL"
"TOBB","Tıp Fakültesi","68.227,2 TL"
"","Diğer bütün lisans bölümleri","48.741,6 TL"
"TÜRK HAVA KURUMU","Hava Ulaştırma Fakültesi Bölümleri","38.640 TL"
"","Havacılık ve Uzay Bilimleri Fakültesi ve Mühendislik Fakültesi Bölü","38.640 TL"
"","İşletme Fakültesi Bölümleri","36.800 TL"
"","İngilizce Hazırlık Programı","38.640 TL"
"","Pilot Eğitimi lisans programında yıllık öğrenim ücretine ek olarak, lisans öğreniminin 1.inci, 2. nci, 3. üncü ve 4. üncü sınıflarında her dönem başında (Güz/Bahar) olmak üzere 8 eşit taksitte uçuş eğitim ücretini öderler. 2020- 2021 eğitim-öğretim yılı için Üniversitemiz tarafından belirlenen Uçuş Eğitim ücreti KDV dahil 70.000 ABD
Dolarıdır. Bu ücretlere %8 KDV dâhildir.",""
"TED","Tüm lisans programları","43.700,00 TL"
"TOROS ÜNİVERSİTESİ","Mühendislik Fakültesi","35.926,00 TL"
"","Güzel Sanatlar, Tasarım ve Mimarlık Fakültesi","35.926,00 TL"
"","İktisadi İdari ve Sosyal Bilimler Fakültesi Psikoloji Bölümü","35.926,00 TL"
"","İşletme, Uluslararası Finans ve Bankacılık ile Uluslararası Ticaret
ve Lojistik Bölümleri","32.269,00 TL"
"","Sağlık Yönetimi Bölümü","32.269,00 TL"
"","Hemşirelik Bölümü","26.496,00 TL"
"","Beslenme ve Diyetetik bölümü","35.926,00 TL"
"","Yabancı Diller Yüksekokulu MütercimTercümanlık (İngilizce)
bölümü","32.269,00 TL"
"HASAN KALYONCU ÜNİVERSİTESİ - GAZİANTEP","Yabancı Dil Hazırlık","29.440,00 TL"
"","Hukuk Fakültesi","41.400,00 TL"
"","Sağlık Bilimleri Fakültesi Beslenme ve Diyetetik Bölümü","29.440,00 TL"
"","Fizyoterapi ve Rehabilitasyon Bölümü","29.440,00 TL"
"","İktisadi, İdari ve Sosyal Bilimler Fakültesi","29.440,00 TL"
"","Eğitim Fakültesi","29.440,00 TL"
"","İletişim Fakültesi","29.440,00 TL"
"","Güzel Sanatlar ve Mimarlık Fakültesi","30.360,00 TL"
"","Mühendislik Fakültesi","29.440,00 TL"
"GİRNE AMERİKAN ÜNİVERSİTESİ- KIBRIS","İngilizce Hazırlık","26.000,00 TL"
"","İşletme Fakültesi","26.000,00 TL"
"","İletişim Fakültesi","26.000,00 TL"
"","Siyasal Bilimler Fakültesi","26.000,00 TL"
"","Sağlık Bilimleri Fakültesi","27.000,00 TL"
"","Mühendislik Fakültesi","31.000,00 TL"
"","Mimarlık Tasarım ve Güzel Sanatlar Fakültesi","31.000,00 TL"
"","Beşeri Bilimler Fakültesi","31.000,00 TL"
"","Eğitim Fakültesi","30.000,00 TL"
"","Hukuk Fakültesi","35.000,00 TL"
"","Eczacılık Fakültesi","44.000,00 TL"
"","Pilotaj  Bölümü","40.000,00 TL"
"Girne Üniversitesi-Kıbrıs","Pilotaj  Bölümü","59.300,00 TL"
"","Uçak Mühendisliği","41.300,00 TL"
"","Tıp Fakültesi","75.500,00 TL"
"","Diş Hekimliği Fakültesi","62.000,00 TL"
"","Hukuk Fakültesi","33.000,00 TL"
"","Hemşirelik Bölümü","30.600,00 TL"
"","Tıp Fakültesi","75.500,00 TL"
"","Pilotaj  Bölümü (İngilizce hazırlık )","41.300,00 TL"
"HALİÇ ÜNİVERSİTESİ - KIBRIS","Hazırlık (zorunlu)","35.400,00 TL"
"","Hazırlık (isteğe bağlı)","35.400,00 TL"
"","Tıp Fakültesi","92.000,00 TL"
"","Amerikan Kültürü ve Edebiyatı","42.000,00 TL"
"","Matematik  Bölümü","42.000,00 TL"
"","Moleküler Biyoloji ve Genetik  Bölümü(İngilizce)","40.000,00 TL"
"","Mütercim Tercümanlık  Bölümü (İngilizce)","44.000,00 TL"
"","Psikoloji  Bölümü","46.000,00 TL"
"","Psikoloji  Bölümü (İngilizce)","50.000,00 TL"
"","Türk Dili ve Edebiyatı  Bölümü","36.000,00 TL"
"","Mühendislik Fakültesi  Bölümü","28.000,00 TL"
"","Uluslararası Ticaret ve İşletmecilik  Bölümü (İngilizce)","28.000,00 TL"
"","Siyaset Bilimi ve Uluslararası İlişkiler  Bölümü","30.000,00 TL"
"","Halkla İlişkiler ve Tanıtım  Bölümü","42.000,00 TL"
"","Mühendislik Fakültesi","42.000,00 TL"
"","Makine Mühendisliği  Bölümü (İngilizce)","28.000,00 TL"
"","Elektrik-Elektronik Mühendisliği  Bölümü(İngilizce)","38.000,00 TL"
"","Endüstri Mühendisliği  Bölümü (İngilizce)","32.000,00 TL"
"","Bilgisayar Mühendisliği  Bölümü(İngilizce)","44.000,00 TL"
"","Yazılım Mühendisliği  Bölümü(İngilizce)","38.000,00 TL"
"","Endüstriyel Tasarım  Bölümü","38.000,00 TL"
"","Mimarlık Bölümü","44.000,00 TL"
"","İç Mimarlık  Bölümü","44.000,00 TL"
"","Ebelik  Bölümü","38.000,00 TL"
"","Fizyoterapi ve Rehabilitasyon Bölümü (İngilizce)-(Türkçe)","44.000,00 TL"
"","Beslenme ve Diyetetik  Bölümü (Türkçe) (İngilizce)","54.000,00 TL"
"","Hemşirelik  Bölümü (Türkçe )-(İngilizce)","44.000,00 TL"
"ÖZYEĞİN ÜNİVERSİTESİ - İSTANBUL","Tüm Fakülte Fiyatları","78.200,00 TL"
"","Pilotaj  Bölümü","62.550,00 TL"
"","Havacılık Yönetimi  Bölümü","52.900,00 TL"
"","Otel Yöneticiliği  Bölümü","49.680,00 TL"
"","Gastronomi ve Mutfak Sanatları  Bölümü","52.900,00 TL"
"","Diş Hekimliği Fakültesi","97.000,00 TL"
"","Eczacılık Fakültesi","74 000,00 TL"
"","Tıp Fakültesi","90 000,00 TL"
"","Uygulamalı Bilimler  Bölümü","68.000,00 TL"
